image,rvec1,rvec2,rvec3,tvec1,tvec2,tvec3
640px-thumb.jpg,-1.584631562,-0.748430847,-1.075236421,-405.7492576,90.0650653,-346.0985887
BlaineHouse1.JPG,-1.826169218,-0.991137333,-0.998994343,-607.6207924,-13.16666411,-466.0764061
Blaine_House_at_Augusta_ME_IMG_2041.JPG,-0.636994701,-1.347023483,-0.890712292,-185.55281,-19.17063805,-601.4563087
The_Guy_P._Gannett_House.jpeg.jpg,-2.101527153,-1.158074049,-1.398577359,-257.8592609,-54.84666503,-425.935898
The_Blaine_House_Augusta_Maine.jpg,-2.101527153,-1.158074049,-1.398577359,-257.8592609,-54.84666503,-425.935898
