Image1,Image2,KeyPoint1_X,KeyPoint1_Y,KeyPoint2_X,KeyPoint2_Y,Width1,Height1,Width2,Height2
pic.0280.jpg,pic.0281.jpg,237.60305786132812,327.65234375,155.89266967773438,454.7022399902344,800,640,800,640
pic.0280.jpg,pic.0281.jpg,237.60305786132812,327.65234375,155.89266967773438,454.7022399902344,800,640,800,640
pic.0280.jpg,pic.0281.jpg,316.1725769042969,529.231689453125,155.89266967773438,454.7022399902344,800,640,800,640
pic.0280.jpg,pic.0281.jpg,322.41583251953125,530.00732421875,155.89266967773438,454.7022399902344,800,640,800,640
pic.0280.jpg,pic.0281.jpg,328.73193359375,531.1510620117188,155.89266967773438,454.7022399902344,800,640,800,640
pic.0280.jpg,pic.0281.jpg,349.00152587890625,532.0314331054688,155.89266967773438,454.7022399902344,800,640,800,640
pic.0280.jpg,pic.0281.jpg,349.00152587890625,532.0314331054688,155.89266967773438,454.7022399902344,800,640,800,640
pic.0280.jpg,pic.0281.jpg,379.4880676269531,210.64303588867188,155.89266967773438,454.7022399902344,800,640,800,640
pic.0280.jpg,pic.0281.jpg,409.9710693359375,344.8876037597656,150.4698486328125,456.41119384765625,800,640,800,640
pic.0280.jpg,pic.0281.jpg,430.0161437988281,219.58203125,132.30331420898438,386.66571044921875,800,640,800,640
pic.0280.jpg,pic.0281.jpg,437.409423828125,178.43035888671875,488.3202819824219,303.4088439941406,800,640,800,640
pic.0280.jpg,pic.0281.jpg,509.7002258300781,479.05126953125,155.89266967773438,454.7022399902344,800,640,800,640
pic.0280.jpg,pic.0281.jpg,535.8952026367188,456.3046875,155.89266967773438,454.7022399902344,800,640,800,640
pic.0280.jpg,pic.0281.jpg,568.8828125,412.83843994140625,155.89266967773438,454.7022399902344,800,640,800,640
pic.0280.jpg,pic.0281.jpg,573.9195556640625,404.99066162109375,155.89266967773438,454.7022399902344,800,640,800,640
pic.0280.jpg,pic.0281.jpg,578.1605834960938,396.3479919433594,155.89266967773438,454.7022399902344,800,640,800,640
pic.0280.jpg,pic.0281.jpg,580.648193359375,391.1636962890625,155.89266967773438,454.7022399902344,800,640,800,640
pic.0280.jpg,pic.0281.jpg,587.2376708984375,370.3317565917969,155.89266967773438,454.7022399902344,800,640,800,640
pic.0280.jpg,pic.0281.jpg,587.2376708984375,370.3317565917969,155.89266967773438,454.7022399902344,800,640,800,640
pic.0280.jpg,pic.0282.jpg,282.48675537109375,476.688720703125,183.54466247558594,127.17776489257812,800,640,800,640
pic.0280.jpg,pic.0282.jpg,318.4322509765625,281.0223693847656,283.4745178222656,101.20648956298828,800,640,800,640
pic.0280.jpg,pic.0282.jpg,388.6993103027344,378.6829833984375,112.7426528930664,194.6674346923828,800,640,800,640
pic.0280.jpg,pic.0282.jpg,388.6993103027344,378.6829833984375,112.7426528930664,194.6674346923828,800,640,800,640
pic.0280.jpg,pic.0282.jpg,396.35736083984375,337.12176513671875,720.7068481445312,297.7043151855469,800,640,800,640
pic.0280.jpg,pic.0282.jpg,396.35736083984375,337.12176513671875,720.7068481445312,297.7043151855469,800,640,800,640
pic.0280.jpg,pic.0282.jpg,455.93719482421875,215.41629028320312,124.42524719238281,130.39634704589844,800,640,800,640
pic.0280.jpg,pic.0283.jpg,60.25480651855469,380.5438537597656,138.62127685546875,401.0045166015625,800,640,800,640
pic.0280.jpg,pic.0283.jpg,231.19766235351562,465.0527648925781,142.09982299804688,394.744384765625,800,640,800,640
pic.0280.jpg,pic.0283.jpg,316.1725769042969,529.231689453125,142.09982299804688,394.744384765625,800,640,800,640
pic.0280.jpg,pic.0283.jpg,322.41583251953125,530.00732421875,142.09982299804688,394.744384765625,800,640,800,640
pic.0280.jpg,pic.0283.jpg,349.00152587890625,532.0314331054688,142.09982299804688,394.744384765625,800,640,800,640
pic.0280.jpg,pic.0283.jpg,470.11767578125,215.15785217285156,362.7049255371094,523.1304321289062,800,640,800,640
pic.0280.jpg,pic.0283.jpg,535.8952026367188,456.3046875,142.09982299804688,394.744384765625,800,640,800,640
pic.0280.jpg,pic.0283.jpg,568.8828125,412.83843994140625,142.09982299804688,394.744384765625,800,640,800,640
pic.0280.jpg,pic.0283.jpg,573.9195556640625,404.99066162109375,142.09982299804688,394.744384765625,800,640,800,640
