Image1,Image2,KeyPoint1_X,KeyPoint1_Y,KeyPoint2_X,KeyPoint2_Y,Width1,Height1,Width2,Height2
640px-thumb.jpg,Sunset-trump-world.jpg,157.249267578125,285.5716552734375,83.91009521484375,657.7623291015625,800,535,800,1066
640px-thumb.jpg,Sunset-trump-world.jpg,246.98529052734375,442.31494140625,490.078125,748.4479370117188,800,535,800,1066
640px-thumb.jpg,Sunset-trump-world.jpg,286.2754211425781,501.0736389160156,201.37110900878906,1053.2901611328125,800,535,800,1066
640px-thumb.jpg,Sunset-trump-world.jpg,344.0853271484375,362.2049560546875,83.32372283935547,720.4080810546875,800,535,800,1066
640px-thumb.jpg,Sunset-trump-world.jpg,774.0230102539062,441.1569519042969,81.41828918457031,723.9359130859375,800,535,800,1066
640px-thumb.jpg,Trump_Tower_4.jpg,44.38321304321289,515.2588500976562,397.25250244140625,2.7318012714385986,800,535,800,1066
640px-thumb.jpg,Trump_Tower_4.jpg,150.5493927001953,277.6633605957031,312.2262268066406,18.966596603393555,800,535,800,1066
640px-thumb.jpg,Trump_Tower_4.jpg,352.9888000488281,170.89524841308594,312.2262268066406,18.966596603393555,800,535,800,1066
640px-thumb.jpg,Trump_Tower_4.jpg,417.7973327636719,167.3574981689453,312.2262268066406,18.966596603393555,800,535,800,1066
640px-thumb.jpg,Trump_Tower_4.jpg,418.271728515625,166.95553588867188,312.2262268066406,18.966596603393555,800,535,800,1066
640px-thumb.jpg,Trump_Tower_4.jpg,424.4568786621094,492.79547119140625,548.1702270507812,1028.7835693359375,800,535,800,1066
640px-thumb.jpg,Trump_Tower_4.jpg,561.7631225585938,480.63018798828125,307.4856872558594,362.9493713378906,800,535,800,1066
640px-thumb.jpg,Trump_Tower_4.jpg,561.7631225585938,480.63018798828125,307.4856872558594,362.9493713378906,800,535,800,1066
640px-thumb.jpg,Trump_World_Tower.jpg,313.1899108886719,379.5207214355469,210.57984924316406,958.8131713867188,800,535,800,1066
640px-thumb.jpg,Trump_World_Tower.jpg,352.9888000488281,170.89524841308594,158.94378662109375,964.0308227539062,800,535,800,1066
640px-thumb.jpg,Trump_World_Tower.jpg,417.7973327636719,167.3574981689453,158.94378662109375,964.0308227539062,800,535,800,1066
640px-thumb.jpg,Trump_World_Tower.jpg,418.271728515625,166.95553588867188,158.94378662109375,964.0308227539062,800,535,800,1066
640px-thumb.jpg,Trump_World_Tower.jpg,428.5404968261719,495.0386657714844,258.9028625488281,824.1517333984375,800,535,800,1066
640px-thumb.jpg,Trump_World_Tower.jpg,460.92529296875,521.3343505859375,14.189071655273438,975.9270629882812,800,535,800,1066
640px-thumb.jpg,Trump_World_Tower.jpg,467.575927734375,343.4925842285156,158.94378662109375,964.0308227539062,800,535,800,1066
640px-thumb.jpg,Trump_World_Tower_-_panoramio.jpg,12.343080520629883,234.91932678222656,48.834449768066406,253.71070861816406,800,535,800,535
640px-thumb.jpg,Trump_World_Tower_-_panoramio.jpg,240.03533935546875,454.51800537109375,87.02690124511719,261.952392578125,800,535,800,535
640px-thumb.jpg,Trump_World_Tower_-_panoramio.jpg,667.1287841796875,369.5973815917969,509.02886962890625,125.51592254638672,800,535,800,535
640px-thumb.jpg,Trump_World_Tower_-_panoramio.jpg,788.9240112304688,408.336181640625,481.57623291015625,135.3406524658203,800,535,800,535
640px-thumb.jpg,"Trump_World_Tower_and_East_River_in_Manhattan,_New_York_City_(cropped).jpg",282.5671081542969,506.8564453125,10.122422218322754,1479.95751953125,800,535,800,1583
640px-thumb.jpg,"Trump_World_Tower_and_East_River_in_Manhattan,_New_York_City_(cropped).jpg",284.673828125,282.916259765625,17.552684783935547,652.8329467773438,800,535,800,1583
640px-thumb.jpg,"Trump_World_Tower_and_East_River_in_Manhattan,_New_York_City_(cropped).jpg",286.2754211425781,501.0736389160156,24.13005256652832,1459.2088623046875,800,535,800,1583
640px-thumb.jpg,"Trump_World_Tower_and_East_River_in_Manhattan,_New_York_City_(cropped).jpg",287.02020263671875,299.616943359375,26.115190505981445,714.4419555664062,800,535,800,1583
640px-thumb.jpg,"Trump_World_Tower_and_East_River_in_Manhattan,_New_York_City_(cropped).jpg",287.8503112792969,287.8077697753906,28.708641052246094,671.1591186523438,800,535,800,1583
640px-thumb.jpg,"Trump_World_Tower_and_East_River_in_Manhattan,_New_York_City_(cropped).jpg",288.3460693359375,488.16656494140625,32.00282669067383,1410.5582275390625,800,535,800,1583
640px-thumb.jpg,"Trump_World_Tower_and_East_River_in_Manhattan,_New_York_City_(cropped).jpg",288.64556884765625,529.1260375976562,33.88785171508789,1560.556884765625,800,535,800,1583
640px-thumb.jpg,"Trump_World_Tower_and_East_River_in_Manhattan,_New_York_City_(cropped).jpg",290.9599609375,474.06378173828125,41.87824630737305,1359.5625,800,535,800,1583
640px-thumb.jpg,"Trump_World_Tower_and_East_River_in_Manhattan,_New_York_City_(cropped).jpg",292.2723388671875,470.62554931640625,47.2075080871582,1345.5552978515625,800,535,800,1583
640px-thumb.jpg,"Trump_World_Tower_and_East_River_in_Manhattan,_New_York_City_(cropped).jpg",297.1396789550781,288.9104309082031,64.29209899902344,675.4791870117188,800,535,800,1583
640px-thumb.jpg,"Trump_World_Tower_and_East_River_in_Manhattan,_New_York_City_(cropped).jpg",297.8627014160156,529.6101684570312,66.65791320800781,1563.6502685546875,800,535,800,1583
640px-thumb.jpg,"Trump_World_Tower_and_East_River_in_Manhattan,_New_York_City_(cropped).jpg",298.1136169433594,522.3511962890625,67.04788208007812,1536.7767333984375,800,535,800,1583
